school,conference,year,ticket_sales,student_fees,guarantees_revenue,contributions,third_party_support,direct_state_or_other_government_support,direct_institutional_support,indirect_facilities_and_administrative_support,ncaa_conference_distributions_including_all_tournament_revenues,broadcast_television_radio_and_internet_rights,program_sales_concessions_novelty_sales_and_parking,royalties_licensing_advertising_and_sponserships,total_operating_revenue
University of Mississippi,Southeastern,2004,8245889,1565462,1033425,2821875,0,0,1098443,0,10638578,555386,618900,0,27605326
University of Mississippi,Southeastern,2014,17280915,1911778,442500,15898757,204000,0,1974645,0,22465987,2623230,1537096,4857343,75849000
Mississippi State University,Southeastern,2004,5942407,2979259,843659,2853094,1997333,0,494000,0,4897570,4530384,258050,381819,25965127
Mississippi State University,Southeastern,2014,12461331,2650000,1554700,13942877,51766,0,0,0,21569639,4131500,1607298,997186,62275111
"University of Missouri, Columbia",Big 12,2004,12893595,94147,250000,7110640,0,0,2265000,139808,8607863,2149372,4278782,469000,39853466
"University of Missouri, Columbia",Southeastern,2014,24235754,0,208500,20113654,0,0,1515000,0,21836870,4456704,2696275,2543650,83718587
"University of Nebraska, Lincoln",Big 12,2004,22270477,0,513980,10567337,0,0,0,0,9096065,3613894,1741814,5065119,54994339
"University of Nebraska, Lincoln",Big Ten,2014,40450062,0,14000,11833760,0,0,0,0,16098749,2488673,8228254,13140048,94797692
"University of North Carolina, Chapel Hill",Atlantic Coast,2004,12612353,2373733,2358788,9118688,0,0,0,1094606,10329694,2132788,1603204,2511027,47300079
"University of North Carolina, Chapel Hill",Atlantic Coast,2014,23012533,7315622,525936,18234593,0,0,0,1762971,20628115,5172150,2021575,2733096,83771913
The Ohio State University,Big Ten,2004,37492779,0,0,25738678,0,9039,0,0,15889570,1535485,3818617,4199699,103871322
The Ohio State University,Big Ten,2014,56002638,0,250000,28201658,75000,0,0,0,28662655,1932000,6377835,12968356,145232681
University of Oklahoma,Big 12,2004,27578382,0,84500,9829811,0,0,150000,0,11552413,0,1455633,6691438,58952268
University of Oklahoma,Big 12,2014,36940264,0,1088000,33363102,0,0,0,0,25954416,5227250,2606709,12798803,129226692
Oklahoma State University,Big 12,2004,12604236,210910,360161,19376956,0,0,0,0,9731288,1710000,364048,1315667,46902052
Oklahoma State University,Big 12,2014,23756815,3103680,2605757,37027350,0,0,2902283,1515512,23915667,4795000,618670,2605681,117803302
University of Oregon,Pac-10,2004,12009560,1370229,1295878,11121521,81000,0,654000,0,8879562,28932,873874,1800000,40899941
University of Oregon,Pac-12,2014,28625906,1715099,415000,124927474,178746,440000,0,0,22643365,28386,5008686,7900297,196030398
Purdue University,Big Ten,2004,14405071,0,506443,11649752,0,22289,0,0,12063346,949000,1165857,1708921,43780548
Purdue University,Big Ten,2014,14421078,0,400000,15281636,139316,0,0,0,28928744,0,2078005,6453081,71372206
"Rutgers, The State University of New Jersey, New Brunswick",Big East,2004,2935141,5097339,985000,3109818,774093,4670650,8371500,0,4591318,0,266456,866725,33225271
"Rutgers, The State University of New Jersey, New Brunswick",Big Ten,2014,10466489,10323090,275000,8113992,959612,16228,26001347,0,9269466,0,1903917,7678049,76656339
"University of South Carolina, Columbia",Southeastern,2004,13462996,551348,852250,14017944,1481560,0,0,0,9574486,364687,994314,413925,49432577
"University of South Carolina, Columbia",Southeastern,2014,21346746,2592673,302500,30203751,5750000,0,3039303,0,22903539,260000,4162143,4267844,98619479
"University of Tennessee, Knoxville",Southeastern,2004,24067500,1000000,1050000,15345486,0,0,0,0,9524105,2475530,5011631,3679641,66795023
"University of Tennessee, Knoxville",Southeastern,2014,32572479,1000000,350000,26773796,0,0,250000,0,21329147,5668069,5710728,8682056,107499732
University of Texas at Austin,Big 12,2004,31238635,1801048,1199850,21902385,0,0,1406918,0,10665267,49121,3051485,5076581,83474135
University of Texas at Austin,Big 12,2014,53655400,0,455500,37633031,0,0,0,0,23914929,26422,4825302,31955783,161035187
"Texas A&M University, College Station",Big 12,2004,22559254,0,285000,10676384,0,0,0,0,8696610,655336,1886260,662450,50031871
"Texas A&M University, College Station",Southeastern,2014,36748041,0,83658,36312515,0,0,1241457,0,22618960,0,3780238,11077963,119475872
Texas Tech University,Big 12,2004,8380901,2983580,0,13957409,564000,28517,2500000,540976,7936336,325966,622850,3728946,42300031
Texas Tech University,Big 12,2014,11195150,3068485,200000,27627158,0,0,1018271,0,23174383,0,1220293,7402130,76723413
"University of California, Los Angeles",Pac-10,2004,11490326,2499469,3265419,5969419,0,0,0,0,5022244,6325155,939014,3839167,42536485
"University of California, Los Angeles",Pac-12,2014,17807674,2651272,522500,16229179,0,0,60000,0,8064339,17536463,583150,11652329,86426780
University of Utah,Mountain West,2004,5511328,3013984,236000,3725220,0,0,3338404,0,1703105,1465948,648175,86705,20039905
University of Utah,Pac-12,2014,13679024,6083151,281834,9967838,0,0,3778955,0,16487484,35706,1492591,3391602,56470310
University of Virginia,Atlantic Coast,2004,10800543,6761364,1497108,23089699,0,0,0,0,10260663,0,555489,2292973,56105673
University of Virginia,Atlantic Coast,2014,15872912,13235814,9500,25125724,0,0,0,0,18925939,0,926616,4733274,83697971
Virginia Polytechnic Institute and State University,Atlantic Coast,2004,12684737,5782195,784257,8561075,55000,8220,408962,0,4960919,1907452,1084860,503186,38900607
Virginia Polytechnic Institute and State University,Atlantic Coast,2014,15005783,7803719,2869034,16333821,185000,0,307109,0,19220520,5050008,1678623,1837878,73065186
University of Washington,Pac-10,2004,15445236,0,1327990,7898126,0,0,1358028,0,8389230,1657515,980831,1879744,42551520
University of Washington,Pac-12,2014,28488448,0,341312,24031168,0,0,3549679,0,24935473,0,3408008,11321491,100275187
Washington State University,Pac-10,2004,4161025,836792,2205180,3552770,50000,0,3785181,5124220,8202542,312866,213166,738931,30475630
Washington State University,Pac-12,2014,5888263,990402,1164000,7017691,0,0,3591215,5523021,23190434,0,130042,3694783,54426818
West Virginia University,Big East,2004,7792770,2418910,970443,11798379,0,38584,0,0,8002648,28901,947928,2373909,37808838
West Virginia University,Big 12,2014,18816376,4310037,343170,19689619,0,100000,31485,0,15431824,900723,3366978,11711970,77626819
"University of Wisconsin, Madison",Big Ten,2004,19114516,0,195000,11379714,0,0,3691000,0,11699526,1847009,6137541,2100666,58121893
"University of Wisconsin, Madison",Big Ten,2014,27556037,0,562591,38456619,0,0,5091360,2982000,29506396,8773160,6526921,4616212,127910918
University of Louisville,Atlantic Coast,2014,26928635,1960346,304818,29379612,0,0,2087567,3720686,10461106,0,3083909,4956633,88745348
North Carolina State University,Atlantic Coast,2014,20952442,6687509,100000,10824170,0,0,21142,0,19041322,4790000,2769641,2161173,70500811
Oregon State University,Pac-12,2014,10080314,2502831,340000,10670196,0,440000,3354375,5988247,23715403,0,1145526,3183927,63301794
Pennsylvania State University,Big Ten,2014,38006892,0,35500,24169749,0,0,0,0,24165756,3600000,4891646,4890787,117590990
