school,year,athletic_student_aid,guarantees_expenses,coaching_salaries_benefits_and_bonuses_paid_by_the_university_and_related_entities,coaching_other_compensation_and_benefits_paid_by_a_third_party,support_staff_administrative_salaries_benefits_and_bonuses_paid_by_the_university_and_related_entities,support_staff_administrative_other_compensation_and_benefits_paid_by_a_third_party,severance_payments ,recruiting,team_travel,equipment_uniforms_and_supplies,game_expenses,fund_raising_marketing_and_promotion,direct_facilities_maintenance_and_rental,spirit_groups,medical_expenses_and_medical_insurance,total_operating_expenses,transfers_to_institution
Utah,2004,3774118,563430,4006052,0,2827045,0,253861,414133,2437561,1876845,1296206,749443,478728,48000,0,20518333,
Utah,2014,8093457,911016,11313635,0,10320752,0,83419,1063552,3894633,2136667,1896088,1770503,2160877,315931,993694,50531606,4520299
Virginia,2004,7459800,1995150,6870185,0,8427589,0,0,769056,2777252,939586,1709785,892407,1967283,0,0,40159056,0
Virginia,2014,14317881,2190250,18089569,0,14386910,0,508681,1215886,5631331,1137753,4326049,657190,15228835,141741,1190110,87426105,0
Virginia Tech,2004,4115666,1239027,5275643,55000,4768428,0,382880,856464,2137426,572066,1526988,1158840,8102620,,,33264859,2571065
Virginia Tech,2014,11115036,1255662,12580778,185000,10999343,0,856660,1290855,4830394,1341953,3159922,1272061,16523019,594711,917773,69597779,0
Washington,2004,5929298,2838616,7078353,0,809105,7361681,331317,774839,2789012,1438220,2822452,584147,2045733,1635420,0,41389893,0
Washington,2014,11604349,1593219,16812513,0,16441616,0,366284,1307465,5474196,5406142,6869573,1975402,4100875,412981,955477,86097137,0
Washington State,2004,4353580,964361,4499829,38200,4086517,11800,0,556316,2563338,1243615,1214184,822916,684878,,,28649702,863914
Washington State,2014,9602597,1442550,10226186,0,10738146,0,1840033,989635,4418889,2545697,1802629,2208028,9008148,128412,1093869,68141258,0
West Virginia,2004,4887204,1220100,4503173,0,5513162,0,0,467684,2713230,651043,1501772,1909636,7150904,,,34385183,31084
West Virginia,2014,9006681,1468214,14588974,0,13313809,0,325000,1303575,6579876,3549541,2890995,668707,8366562,152680,936541,76618251,2419722
Wisconsin,2004,7308895,1294404,8246664,0,13477428,0,0,582620,4288071,1204115,4197156,3882963,8339076,0,0,58074596,0
Wisconsin,2014,11051092,3988714,15931618,0,23775800,0,0,1026757,9724804,2077377,3668552,2907841,38168604,723049,2844413,125096235,0
